"S.c","I.c","R.c","S.m","I.m","R.m","p.c","p.m","time","auc.c","auc.m","max.c","max.m"
941.411047275808,1.00164203118762e-07,3.51077305680277e-07,461.28633654975,6.47728525828796e-07,1.24256596215257e-06,1.06397947379733e-10,1.40417886213421e-09,2001,0.00103715487046275,0.00068403625996824,0.00104814592419754,0.000210783564574663
286.809239735389,5.68758051655336e-10,6.73524559621926e-11,320.345132840161,1.07098248314945e-08,7.19377533690305e-07,1.98305344757655e-12,3.34321446126977e-11,2001,0.00105040739919739,0.000291225985477841,0.00351305755759465,0.00014223921225169
941.722028814448,1.91793967461309e-08,5.03651497266319e-08,349.115495938189,9.88705693085399e-08,1.94738297284223e-06,2.03663035990141e-11,2.83203037044622e-10,2001,0.000790001872811148,0.00010957790858343,0.00108621525407198,3.63551154969065e-05
297.433562332432,0.000958715657493274,0.042803080588913,175.897391061135,0.00197266257754025,0.000957033316475645,3.22281928648305e-06,1.12146616279631e-05,2001,0.00932563033650347,0.00261590711053206,0.00338738098240686,0.000300340738143134
920.64547486773,3.55275835674869e-05,2.91801955761488e-05,448.961927021409,0.00170491258819772,0.00011963407101986,3.85898611792199e-08,3.79743928600712e-06,2001,0.000316267003093893,0.00110881646837629,0.00102756753449532,0.000187979654570242
8.46815445692526,1.58121163969897e-07,2.19967645604096e-06,661.853951938047,0.00653439865747849,0.00499919336656511,1.8672441645741e-08,9.87269890987782e-06,2001,0.0432232872506479,0.00361478636409884,0.0647592690527042,0.000619074720658126
925.427962138498,2.09225306336857e-06,2.6833308491804e-06,540.950628863679,1.44386146282262e-05,2.05656365418841e-05,2.26084918348142e-09,2.66911857081135e-08,2001,0.000677025545627308,0.00046763031138787,0.00109110385892815,0.000129422090156621
166.329284510497,0.000831132632348069,0.00129992138694138,570.42966986228,0.0195420712241992,0.0944898745013373,4.99684698484209e-06,3.42516640921142e-05,2001,0.00393332719934963,0.00779884114796259,0.00491975745037146,0.000959120889213296
653.144627059055,1.59490754824213e-07,1.13943235695235e-06,348.457445378155,7.30454932804977e-07,6.53806026065521e-05,2.44189032412587e-10,2.09625250918888e-09,2001,0.00136897270597554,0.000491250843319975,0.00145497709770263,0.000148584121497265
431.519931596802,0.00019659613712194,0.000225031218918503,635.859589022753,0.00648038922574209,0.00160639754203291,4.55589488776249e-07,1.0191411628987e-05,2001,0.001012436676522,0.000881620826420293,0.00233589961436809,0.000100875114063784
810.049776657283,0.000652739240361122,0.000957022305839545,557.411831084892,0.00082237212419448,0.00186213699204512,8.0579979406841e-07,1.47533316981909e-06,2001,0.00169310360358713,0.0012159642760885,0.0013025360631897,0.000200532343023956
955.442250223176,6.09352490751739e-09,2.67796194753608e-09,710.609691297628,3.7069613882015e-08,0.000455799358107442,6.37770090870285e-12,5.21658943817781e-11,2001,0.00044463430900318,8.66371209233482e-05,0.00108271609523159,3.69523995745551e-05
445.234584408047,2.16266201499886e-05,3.06411976772358e-05,655.946963926862,0.000439083863776811,0.000145062803502573,4.85735348701834e-08,6.69388680644313e-07,2001,0.000821089383328959,0.000159262695537753,0.00215813422037075,2.35290151207825e-05
755.044244260433,0.000179996411882203,0.000285746132622326,743.339920566019,0.0005005659104973,0.000374315669663499,2.38391726340939e-07,6.73400294404516e-07,2001,0.002927924586757,0.000413994315261387,0.0013184750733351,5.80299495159242e-05
133.226417468481,0.0171147146812396,0.00185780498857346,488.436557855612,0.183540244632535,0.115139458617667,0.00012844507928388,0.000375541255321149,2001,0.0223849261224638,0.0255160998962616,0.00753984987989711,0.00221927258598693
421.507866431952,0.00024409979432135,0.000262520656536256,649.570806922905,0.00276830682707821,0.0799077183645651,5.79110190750595e-07,4.26120524208654e-06,2001,0.00275641047476846,0.000642478184614215,0.00254833563644384,7.69862355543947e-05
939.216302318206,0.000348464072344463,0.00347220916739979,176.300144441266,7.72241309254343e-05,0.00174881717387769,3.71014274305148e-07,4.38021938802258e-07,2001,0.00193531272112121,0.000905790164739406,0.0011140136673749,0.000171837767110534
889.54521240557,0.00136277737413885,0.00131984777316344,481.366639946985,0.00610826096053056,0.000463494458095322,1.531988757156e-06,1.26892415531981e-05,2001,0.00191274708704131,0.000423506599785933,0.00119637317404742,2.92776319586555e-05
132.491151118898,0.00518744697777325,0.00519854618093363,295.984742980424,0.0650781289067515,0.300130908326795,3.91500890543348e-05,0.000219598918318279,2001,0.00836079812863688,0.0259254228357708,0.00747538337867117,0.00262178833727752
